,Unnamed: 0.1,Unnamed: 0,postal_code,place_name,state_name,county_name,latitude,longitude,SO2,NO2,O3,PM2.5,PM10,CO,Date,N02,AQI
23063,23063,23063,852125,"Chilauni, Madhubani, Sukhanagar, Pratapganj (Supaul), Bhawanipur Patni, Gonaha, Jiwachhpur, Tekuna, Surjapur, Govindpur",Bihar,Supaul,26.1381,86.84720999999999,2.56,0.0,62.94,26.52,28.1,821.11,2022-09-18,4.67,72.0
23064,23064,23064,852124,"Ghailar, Srinagar, Chikni Phulkaha, G.Bihra, Bhatrandha, Chitti, Jiwachpur, Manjhaul, Purshotampur, Menha Khadimpur, Panchgachiya, Nandalali, R.Tulsiahi, Bara, Sihaul, Barhsher, Bijalpur, Sattar, Patori, Aran",Bihar,Madhepura,25.9159,86.574995,5.72,0.0,74.39,43.26,45.06,854.49,2022-09-18,12.51,105.0
23065,23065,23065,852131,"Karhio, Karnpur, Kadampura, Mauzaha, Pipra Khura, Dighiya, Jobha, Khokhnaha, Bela Terha, Babhni Bhelwa, Chansipatti, Supaul H.O, Pathara, Jolhania, Basaha, Thumha, Dabhari, Supaul Bazar, Kataiya Mahe, Bina, Kharail, Gidrahi, Mangasihaul, Laurh, Ghuran, Nirmali",Bihar,Supaul,26.0862,86.60911153846155,3.34,0.0,60.08,27.37,28.9,867.84,2022-09-18,6.94,73.0
23066,23066,23066,852131,"Karhio, Karnpur, Kadampura, Mauzaha, Pipra Khura, Dighiya, Jobha, Khokhnaha, Bela Terha, Babhni Bhelwa, Chansipatti, Supaul H.O, Pathara, Jolhania, Basaha, Thumha, Dabhari, Supaul Bazar, Kataiya Mahe, Bina, Kharail, Gidrahi, Mangasihaul, Laurh, Ghuran, Nirmali",Bihar,Supaul,26.0862,86.60911153846155,3.34,0.0,60.08,27.37,28.9,867.84,2022-09-18,6.94,73.0
23067,23067,23067,852122,"Hareshwari Dighi, H.Kala, Lc Ashthan, Jorgama, Bhangha Chandpur, Murliganj Tola, Sahuria, Naulakhi, Amarpura, Rahta, Dinapatti, Parwa, Ratanpatti, Gangapur, Murliganj, Rampur, Tamot Persa, Raghunath Pur, Murliganj Bazar, Mirchaibari",Bihar,Madhepura,25.815,86.84209999999999,3.93,0.0,71.53,36.42,37.96,847.82,2022-09-18,7.88,92.0
23068,23068,23068,852216,"Kundah, Arapatti, K.Balua, Maina Gram, B. Bhelahi, Mahishi, Aina, Telwa, Sarauni, Narayanpur, Telhar, Sisauna, Baghwa, Terhi, Manuar",Bihar,Saharsa,25.8646,86.49971333333333,5.72,0.0,74.39,43.26,45.06,854.49,2022-09-18,12.51,105.0
23069,23069,23069,852219,"N. Bhagipur, K.Millik, Mahmooda, Khara Budhma, Sapardah, Kurshandi, Khurhan Mal, Kunjouri, R.N.Khwan, T.Bargaon, Mahua Bazar, S.Madheli, Sahjadpur, K.Ratwara, Shah Alam Nagar, Phulaut, Bajraha, Itahari, Bispatti, Morsanda, Muraut, Gangapur, Basanwara, Singhar",Bihar,Madhepura,25.5474,86.90858750000001,14.66,0.0,35.05,46.21,48.37,674.25,2022-09-18,23.31,111.0
23070,23070,23070,852219,"N. Bhagipur, K.Millik, Mahmooda, Khara Budhma, Sapardah, Kurshandi, Khurhan Mal, Kunjouri, R.N.Khwan, T.Bargaon, Mahua Bazar, S.Madheli, Sahjadpur, K.Ratwara, Shah Alam Nagar, Phulaut, Bajraha, Itahari, Bispatti, Morsanda, Muraut, Gangapur, Basanwara, Singhar",Bihar,Madhepura,25.5474,86.90858750000001,14.66,0.0,35.05,46.21,48.37,674.25,2022-09-18,23.31,111.0
23071,23071,23071,852220,"Udakishunganj, K.S.Pur, R.Barateni, Karauti Bazar, Laskari, Murli Chandwa, Naya Nagar, Rampur Khora, Shyam, Gopalpur",Bihar,Madhepura,25.6768,86.92049,4.17,0.0,89.41,52.25,53.99,754.36,2022-09-18,9.34,136.0
23072,23072,23072,852106,"Kabira, Sitanabad, Ghoghsam, Rampur, Gopalpur, Shankarpur, Kharagpur, Dhanpura, Kathdumar, Belwara, Balwahat, Belhi Teghra, Sakra Paharpur, Saronja, Bhavdeva, Khojuri Matihani, Chapraon, Rajanpur",Bihar,Saharsa,25.6897,86.52548333333333,6.91,0.0,25.39,34.94,36.7,747.68,2022-09-18,19.88,89.0
