,Unnamed: 0.1,Unnamed: 0,postal_code,place_name,state_name,county_name,latitude,longitude,SO2,NO2,O3,PM2.5,PM10,CO,Date,N02,AQI
30069,30069,30069,495115,"Khaprikala, Fulwari, Dongariya, Chilfi, Jhajhpurikala, Barampur, Lagra, Salheghori, Sukli, Jhapal, Khudia, Nawadih, Akhrar, Sardha, Kotri, Dindori, Surhi, Ghanaghat, Baigakapa, Deorhat, Lormi, Daukapa, Ramhepur, Khamhi, Chandeli, Bodtara, Junapara, Bandha",Chattisgarh,Bilaspur(CGH),22.1008,81.70991071428571,1.18,0.0,6.88,16.01,21.91,527.38,2022-09-18,8.23,51.0
30070,30070,30070,495690,"Kachanda, Amgaon, Odekera, Salni, Katetara, Kashigarh, Sendri, Jhalraundha, Bhothia, Thathari, Beladula, Tusar, Khajurani, Akalsara, Jaijaipur",Chattisgarh,Korba,22.5323,82.72122666666668,0.48,0.0,10.82,7.58,10.64,360.49,2022-09-18,3.64,24.0
30071,30071,30071,495115,"Khaprikala, Fulwari, Dongariya, Chilfi, Jhajhpurikala, Barampur, Lagra, Salheghori, Sukli, Jhapal, Khudia, Nawadih, Akhrar, Sardha, Kotri, Dindori, Surhi, Ghanaghat, Baigakapa, Deorhat, Lormi, Daukapa, Ramhepur, Khamhi, Chandeli, Bodtara, Junapara, Bandha",Chattisgarh,Bilaspur(CGH),22.1008,81.70991071428571,1.18,0.0,6.88,16.01,21.91,527.38,2022-09-18,8.23,51.0
30072,30072,30072,495687,"Sakreli, Reda, Nagarda, Dumarpara, Darang, Jarwe, Sarhar, Basti Baradwar, Muktaraja, Baradwar, Kirari, Jharna",Chattisgarh,Janjgir-champa,22.0162,82.84991666666667,4.17,0.0,4.11,20.03,25.25,487.33,2022-09-18,10.54,59.0
30073,30073,30073,495113,"Achanakmar, Dhuma, Bansajhal, Bija, Billiband, Kargi Road, Shivtarai, Amoli, Jhingatpur, Parsada, Gobripat, Bhaisajhar, Kargikala, Salkhanowgaon, Kargikhurd, Bijaypur",Chattisgarh,Bilaspur(CGH),22.4087,81.950275,3.16,0.0,23.25,14.63,17.27,363.83,2022-09-18,7.8,47.0
30074,30074,30074,495674,"Dadarkala, Gidhkunwari, Ghinara, Jilga, Kartalachak, Beharchuwa, Chirra, Jarwe, Saragbundia, Tuman, Rampur, Chiknipali, Kotmer, Chachia, Champa, Tilkeja, Kudmura, Kudurmal, Bhaisma, Syang, Barpali (J), Pidia, Barpali (S), Nonbirra, Solwan, Chorbhatti, Sendripali",Chattisgarh,Korba,22.1912,82.87167407407408,4.17,0.0,4.11,20.03,25.25,487.33,2022-09-18,10.54,59.0
30075,30075,30075,495117,"Jogisar, Khodri, Darri, Neosa, Keonchi, Korja, Gorakhpur, Lalpur, Sadhwani, Pendra Road Sanotorium, Piparkhunti, Pakaria, Choktipani, Andhiyarkhoh, Pendra Road, Pendra Road R.S.",Chattisgarh,Bilaspur(CGH),22.6411,81.87029375,5.25,0.0,35.05,15.08,17.39,343.8,2022-09-18,7.63,48.0
30076,30076,30076,495551,"Masturi, Jondhra, Tikari, Risda, Okhar, Deogaon, Koni, Malhar, Son, Manikchauri, Bhatchaura, Sukulkari, Pachpedi, Loharsison, Gondadih, Darrighat, Bharari",Chattisgarh,Bilaspur(CGH),21.9911,82.28578235294117,4.35,0.0,11.18,15.25,20.24,500.68,2022-09-18,7.54,49.0
30077,30077,30077,495001,"Mangla, Gole Bazar Bilaspur, Kilaward Bilaspur, Bilaspur (Bilaspur-CGH) H.O, Bilaspur Industrial Estate, Bilaspur Kutchery (Bilaspur-CGH)S.O, Juna Bilaspur",Chattisgarh,Bilaspur(CGH),22.1004,82.14930000000001,1.15,0.0,9.21,14.1,19.07,467.3,2022-09-18,6.43,45.0
30078,30078,30078,495115,"Khaprikala, Fulwari, Dongariya, Chilfi, Jhajhpurikala, Barampur, Lagra, Salheghori, Sukli, Jhapal, Khudia, Nawadih, Akhrar, Sardha, Kotri, Dindori, Surhi, Ghanaghat, Baigakapa, Deorhat, Lormi, Daukapa, Ramhepur, Khamhi, Chandeli, Bodtara, Junapara, Bandha",Chattisgarh,Bilaspur(CGH),22.1008,81.70991071428571,1.18,0.0,6.88,16.01,21.91,527.38,2022-09-18,8.23,51.0
