,Unnamed: 0.1,Unnamed: 0,postal_code,place_name,state_name,county_name,latitude,longitude,SO2,NO2,O3,PM2.5,PM10,CO,Date,N02,AQI
17058,17058,17058,782411,"Jagibhakatgaon, Barpak, Hatiamukh, Jagi, Natun Bangalbori, Kuranibori, Manaha Kacharigaon, Mayang Kamarpur, Khulagaon, Burgaon, Buraburi, Barkuloi, Raja Mayang, Jhargaon",Assam,Marigaon,26.4586,92.03310714285712,6.08,0.0,16.81,51.24,65.91,1161.58,2022-09-18,23.65,121.0
17059,17059,17059,782481,"Debasthan Bazar, Howraghat, Borbali, Panditghat, Amonigaon, Baligaon Tiniali, Bobilgaon, Dakhin Dighalipar, Eradighalpani, Hidibonglong, Okrang, Palakamati, Rajapathar, Rongkut, Uttar Borbil",Assam,Nagaon,26.0917,93.1396,2.15,0.0,15.02,18.82,26.39,654.22,2022-09-18,11.65,56.0
17060,17060,17060,782103,"Gandhibori, Bamunbori, Kapahera, Ramjanati, Khaplangkuchi, Rahagaon, Barapujia, Saragaon, Raha, Hariamukh, Bagariguri, Dighaldori, Dighaliati, Fulaguri, Khaigarh, Molankata",Assam,Marigaon,26.2333,92.5167,4.65,0.0,38.98,29.95,36.35,794.41,2022-09-18,14.91,79.0
17061,17061,17061,782140,"Samaguri, Bajiagaon, Bheleoguri, Magurmari, Udmari, Singia, Sibasthan, Rangagarah, Padumoni, Kawaimari, Geruaati Bazar, Chakitop, Mowamari",Assam,Nagaon,26.416,92.8438,3.55,0.0,36.48,22.28,27.99,727.65,2022-09-18,14.05,63.0
17062,17062,17062,782470,"Rangapahar Siding, Tengelijan, Japrajan, Deopani, Balipathar, Dwajungphang, Neparpatty, Dhansripar, Daldali",Assam,Karbi Anglong,26.1303,92.7863,2.74,0.0,19.31,25.66,39.63,774.38,2022-09-18,10.2,70.0
17063,17063,17063,782101,"Oper Uzaragaon, Rantholi, Tulashimukh, Biharigaon, Nonoi",Assam,Nagaon,26.0159,92.5179,5.19,0.0,11.27,32.67,48.04,921.25,2022-09-18,23.31,84.0
17064,17064,17064,782427,"Rengbeng, Jumurmur, Kathiatoli",Assam,Nagaon,26.3504,93.1671,3.76,0.0,18.77,22.18,33.47,654.22,2022-09-18,6.94,63.0
17065,17065,17065,782462,"Phanglangso, Dilaji, Diphu Bazar, Rengkimi Village, Diphu Govt.College, Rongkhelon, Disama, Lurulangso, Baghmari, Dewanbasti",Assam,Karbi Anglong,26.1303,92.741,2.74,0.0,19.31,25.66,39.63,774.38,2022-09-18,10.2,70.0
17066,17066,17066,782462,"Phanglangso, Dilaji, Diphu Bazar, Rengkimi Village, Diphu Govt.College, Rongkhelon, Disama, Lurulangso, Baghmari, Dewanbasti",Assam,Karbi Anglong,26.1303,92.741,2.74,0.0,19.31,25.66,39.63,774.38,2022-09-18,10.2,70.0
17067,17067,17067,782481,"Debasthan Bazar, Howraghat, Borbali, Panditghat, Amonigaon, Baligaon Tiniali, Bobilgaon, Dakhin Dighalipar, Eradighalpani, Hidibonglong, Okrang, Palakamati, Rajapathar, Rongkut, Uttar Borbil",Assam,Nagaon,26.0917,93.1396,2.15,0.0,15.02,18.82,26.39,654.22,2022-09-18,11.65,56.0
17068,17068,17068,782461,"Rongplimplam, Amlakhi Bazar, Longnit, Manja, Kheronigaon, Mahendijua",Assam,Karbi Anglong,26.1303,92.741,2.74,0.0,19.31,25.66,39.63,774.38,2022-09-18,10.2,70.0
