,Unnamed: 0.1,Unnamed: 0,postal_code,place_name,state_name,county_name,latitude,longitude,SO2,NO2,O3,PM2.5,PM10,CO,Date,N02,AQI
0,0,0,504273,"Ityal, Bhimini, Hathini, Kothmeer, Malledi, Karjibheempur, Kalwada, Bibra, Dehgaon, Gudipet, Ainam, Bodepalli, Rechini, Achalapur",Telangana,Adilabad,19.2741,79.05292857142857,1.68,0.0,20.56,6.23,6.67,293.73,2022-09-17,6.17,20.0
1,1,1,504293,"Ada, Burguda, Babapur, Goyagaon, Kannergaon, Movad, Kerameri, Yellaram, Devapur, Modi, Surdapur, Gundi, Asifabad",Telangana,Adilabad,19.6967,79.07738461538462,2.12,0.0,24.32,3.64,4.13,287.06,2022-09-17,4.8,20.0
2,2,2,504307,"Tembi, Powna, Echoda, Soanpally, Sirchelma, Kokasmannur, Mukhra (B), Girnoor, Malyal, Girjam, Adegaon, Pipri, Rampur, Sirkonda, Talamadri, Boregaon, Narsapur",Telangana,Adilabad,19.3112,78.56105294117647,0.32,0.0,31.47,1.37,1.65,230.31,2022-09-17,2.04,26.0
3,3,3,504001,"Station Road (Adilabad), Adilabad H.O, Gandhi Chowk (Adilabad), Adilabad Collectorate, Bhagyanagar (Adilabad), Bhuktapur",Telangana,Adilabad,19.539,78.527,0.55,0.0,29.68,3.04,3.41,270.37,2022-09-17,3.77,25.0
4,4,4,504001,"Station Road (Adilabad), Adilabad H.O, Gandhi Chowk (Adilabad), Adilabad Collectorate, Bhagyanagar (Adilabad), Bhuktapur",Telangana,Adilabad,19.539,78.527,0.55,0.0,29.68,3.04,3.41,270.37,2022-09-17,3.77,25.0
5,5,5,504251,"Agm Colony, Wegaon, Budakalan, Budakurd, Jajjarvelli, Bellampalli R.S., Janakapur, Metpally, Perkapally, Police Colony, Shanthi Khani, Somagudem Coal Mines, Bellampalli, Aknepalli, Gurjal",Telangana,Adilabad,18.7346,79.02962666666667,1.28,0.0,32.19,3.05,3.64,236.99,2022-09-17,2.96,27.0
6,6,6,504273,"Ityal, Bhimini, Hathini, Kothmeer, Malledi, Karjibheempur, Kalwada, Bibra, Dehgaon, Gudipet, Ainam, Bodepalli, Rechini, Achalapur",Telangana,Adilabad,19.2741,79.05292857142857,1.68,0.0,20.56,6.23,6.67,293.73,2022-09-17,6.17,20.0
7,7,7,504251,"Agm Colony, Wegaon, Budakalan, Budakurd, Jajjarvelli, Bellampalli R.S., Janakapur, Metpally, Perkapally, Police Colony, Shanthi Khani, Somagudem Coal Mines, Bellampalli, Aknepalli, Gurjal",Telangana,Adilabad,18.7346,79.02962666666667,1.28,0.0,32.19,3.05,3.64,236.99,2022-09-17,2.96,27.0
8,8,8,504309,"Guda, Chaprala, Gumma (Adilabad), Jainad, Ghotkuri, Deepaiguda, Lachampur, Sirsanna, Pendalwada, Nirala, Koora, Khogdur, Sawapur, Sangvi, Akoli, Bela",Telangana,Adilabad,19.4756,78.7945875,2.3,0.0,24.32,4.53,4.96,307.08,2022-09-17,6.6,20.0
9,9,9,504201,"Annaram, Sirsa, Nagapur, Kollur, Pokkur, Alegaon, Chinnoor, Dugnepally, Dewalwada, Asnad, Angarajpally, Somanpally, Parpally, Kommera",Telangana,Adilabad,18.9071,79.70227857142856,3.13,0.0,21.99,5.42,6.31,290.39,2022-09-17,4.03,18.0
10,10,10,504110,"Gopalpet, Dhani, Jam, Aloor, Ponkur, Chincholi (B), Vengwapet, Koutla, Borigaon, Malak Chincholi, Sarangapur",Telangana,Adilabad,19.2565,78.52283636363637,0.32,0.0,31.47,1.37,1.65,230.31,2022-09-17,2.04,26.0
11,11,11,504202,"Ambaripet, Revojipet, Maddipadaga, Munial, Bellalbadi, Dasturabad, Lingapur, Peddur, Chityal",Telangana,Adilabad,19.1284,78.66061111111111,0.34,0.0,26.11,1.2,1.57,226.97,2022-09-17,1.74,22.0
12,12,12,504296,"Rp Colony, Harnath Colony, Penchikalpet, Sanjeevnagar, Industrial Area (Adilabad), Sirpur Khagaznagar, M.G. Road, Easgaon - V, Easgaon Camp, Chedwai, Andavelli, Old Town, Tungeda, Vempalli, Mosam, Bareguda, Raspalli, Chintaguda",Telangana,Adilabad,18.8274,79.22616111111111,0.65,0.0,21.1,2.89,3.66,257.02,2022-09-17,4.11,17.0
13,13,13,504231,"Dharmaraopet, Mandamarri R.S., Mandamarri Colleries, Kalyani Khani, Andugulpet, Kasipet",Telangana,Adilabad,19.0763,79.41261666666666,1.18,0.0,28.25,5.82,6.29,280.38,2022-09-17,4.28,23.0
14,14,14,504109,"Kallur, Sunkli, Limba (K), Gulmadugu, Andukur, Pendapally, Thammapur, Ola, Kuntala",Telangana,Adilabad,19.1043,78.0982,0.89,0.0,27.54,2.87,3.43,223.64,2022-09-17,1.78,23.0
15,15,15,504201,"Annaram, Sirsa, Nagapur, Kollur, Pokkur, Alegaon, Chinnoor, Dugnepally, Dewalwada, Asnad, Angarajpally, Somanpally, Parpally, Kommera",Telangana,Adilabad,18.9071,79.70227857142856,3.13,0.0,21.99,5.42,6.31,290.39,2022-09-17,4.03,18.0
16,16,16,504299,"Ankhoda, Babasagar, Bejjur, Chintalamanepalli, Karjavelli, Dabba, Dimda, Gudlabori, Kowthala, Moogavelli, Lonavelli, Marthidi, Gundaipet, Mogardhagar, Gurudpet, Hudkuli, Sirpur (T), Papannapet, Talodi, Rebbena, Ootsurangapalli, Muthyampet, Munjampalli, Gudem, Chintakunta, Pardi, Dhorpalli, Bapur",Telangana,Adilabad,19.1343,79.27185714285714,0.78,0.0,21.1,5.35,6.01,267.03,2022-09-17,3.26,17.0
