,Unnamed: 0.1,Unnamed: 0,postal_code,place_name,state_name,county_name,latitude,longitude,SO2,NO2,O3,PM2.5,PM10,CO,Date,N02,AQI
29065,29065,29065,844502,"Rahimapur, Chandpura, Bidupur Rs, Bajitpur Malahi, Balatand, Dayalpur Garh, Bishanpur Titara, Hilalpur Madarpur, Lakhani, Sahdullpur Dhabouli, Bahuara",Bihar,Vaishali,25.6695,85.40611818181819,23.37,0.0,27.54,87.28,118.48,1321.79,2022-09-18,30.85,162.0
29066,29066,29066,844114,"Hansikewal, Bhagwanpur (Vaishali), Bishanpur  Bande, Rasulpur Korigaon, Raghunathpur Imadpur, Rasulpur Enayat, Pirapur Mathura, Asoi, Piroi, Kiratpur Rajaram, Garjaul, Katarmala, Husaina Khurd, Warispur, Bithauli, Satpura, Boaria",Bihar,Vaishali,25.856,85.32225882352941,8.7,0.0,31.11,79.76,105.38,1174.93,2022-09-18,19.71,158.0
29067,29067,29067,844506,"Palwaiya, Hasanpur Gurda, Lawapur Mahnar, Lawapur Narain, Hasanpur, Dhamaun, Sultanpur, Mahnar, Marauatpur, Alipur Hatta, Taibpur, Nayaganj, Inayatpur, Hetanpur",Bihar,Vaishali,25.6101,85.48047142857142,23.37,0.0,27.54,87.28,118.48,1321.79,2022-09-18,30.85,162.0
29068,29068,29068,844103,"Chandralay, Gadaisarai, Ishmilepur, Izra, Anzanpeer Chok, Balwakuari, Minapur Rai, Harauli",Bihar,Vaishali,25.7521,85.1931,10.85,0.0,23.25,64.98,82.91,1121.52,2022-09-18,26.73,149.0
29069,29069,29069,844103,"Chandralay, Gadaisarai, Ishmilepur, Izra, Anzanpeer Chok, Balwakuari, Minapur Rai, Harauli",Bihar,Vaishali,25.7521,85.1931,10.85,0.0,23.25,64.98,82.91,1121.52,2022-09-18,26.73,149.0
29070,29070,29070,844102,"Rajasan, Sadullahpur, Subhai, Rajauli, Ratnakar, Hajipur Ind.Area, Bhairopur Deodhi, Dighi Kala, Jadhua, Panapur Dharampur",Bihar,Vaishali,25.6628,85.71888,15.14,0.0,22.17,59.51,71.74,1134.87,2022-09-18,27.08,138.0
29071,29071,29071,844504,"Jahangirpur Sham, Maniarpur, Jafarpatti, Bhataulia, Basantpur, Azampur, Kadilpur, Ufraul, Chakamgola, Desari, Bakhari Supayan, Mamrejpur, Khokhsa Bujurg, Dhandhua, Chandpura Nankar, Mukundpur Grahi, Lakhmipur, Rampur Madhaul",Bihar,Vaishali,25.6253,85.37655555555556,16.69,0.0,11.44,90.56,123.16,1455.31,2022-09-18,33.59,164.0
29072,29072,29072,844503,"Madhurapur, Khilwat, Jafrabad, Kutubpur Saidpur, Mathurapur Sultan, Navanagar, Bajitpur Saidat, Govindpur Gokhula, Dilawarpur Govardhan, Bishunpur Rajkhand, Chakgarho Daudnagar, Bidupur Bazar, Chechar",Bihar,Vaishali,25.6225,85.35570769230769,16.69,0.0,11.44,90.56,123.16,1455.31,2022-09-18,33.59,164.0
29073,29073,29073,844126,"Nari Khurd, Jahangirpur Salkhanni, Harpur Belwa, Chitrauli, Singhara, Tisiuta Dharampur, Gara Urf Govindpur Devi, Adalpur, Chakaiya, Pour, Serpur Chatwara, Sarmaspura, Mahathi Dharamchand, Milki Urf  Chakwaje Khijirpur",Bihar,Vaishali,25.7763,85.4994,23.37,0.0,27.54,87.28,118.48,1321.79,2022-09-18,30.85,162.0
29074,29074,29074,844504,"Jahangirpur Sham, Maniarpur, Jafarpatti, Bhataulia, Basantpur, Azampur, Kadilpur, Ufraul, Chakamgola, Desari, Bakhari Supayan, Mamrejpur, Khokhsa Bujurg, Dhandhua, Chandpura Nankar, Mukundpur Grahi, Lakhmipur, Rampur Madhaul",Bihar,Vaishali,25.6253,85.37655555555556,16.69,0.0,11.44,90.56,123.16,1455.31,2022-09-18,33.59,164.0
