,Unnamed: 0.1,Unnamed: 0,postal_code,place_name,state_name,county_name,latitude,longitude,SO2,NO2,O3,PM2.5,PM10,CO,Date,N02,AQI
20061,20061,20061,781126,"Loharkata, Lowpara, Jaysagar, Dagapara, Adabari, Bhangnamari, Meritary, Lowtola, Narayanpur, Chanda, Kandhbari, Balikuchi, Mukalmua",Assam,Nalbari,26.2685,91.53282307692308,3.73,0.0,26.46,45.51,56.81,867.84,2022-09-18,10.88,110.0
20062,20062,20062,781372,"Dihira, Subankhata, Nikashi, Adalbari, Mussalpur, Pamuapathar, Motipur, Kataligaon, Barimukh, Banbari, Uttarkuchi, Narayanpur",Assam,Nalbari,26.3679,91.3919,2.53,0.0,42.56,35.48,43.4,734.33,2022-09-18,6.0,90.0
20063,20063,20063,781138,"Larkuchi, Kachupathar, Kaplabari, Kekankuchi, Narua, Pachim Kajia Gaon, Bartola, Hidilatari",Assam,Nalbari,26.263,91.3011,2.53,0.0,42.56,35.48,43.4,734.33,2022-09-18,6.0,90.0
20064,20064,20064,781307,"Nasatraphulbari, Parakuchi, Karaguri, Namsala, Kamalabari, Amrikhowa, Byaskuchi, Barkapla, Sarthebari",Assam,Barpeta,26.3629,91.2231,2.53,0.0,42.56,35.48,43.4,734.33,2022-09-18,6.0,90.0
20065,20065,20065,781355,"Nathkuchi, Niz Namati, Karemura, Assam Syntex, Geruapara, Medaghat, Sathimuka, Baramchari",Assam,Nalbari,26.3679,91.33395,2.53,0.0,42.56,35.48,43.4,734.33,2022-09-18,6.0,90.0
20066,20066,20066,781367,"Dumuria, Mazdia, Kalaskuchi, Nizdafeli, Natunhowly, Kachubari, Kachukata, Zarkona, Tinpukhuri, Pachimjargaon, Paddapar, Ghogpar, Gandhibari, Barkhopa, Amayapur, Tambulpur, Kalbari, Ulubari",Assam,Barpeta,26.335,91.25947777777778,2.53,0.0,42.56,35.48,43.4,734.33,2022-09-18,6.0,90.0
20067,20067,20067,781344,"Gerua, Nayabasti, Baganpara, Angardhowa, Bagulamari, Khgrabari, Muktapur",Assam,Nalbari,26.4211,91.68744285714286,14.54,0.0,29.33,79.11,95.65,1682.28,2022-09-18,55.52,158.0
20068,20068,20068,781349,"Nizdhamdhama, Balitara, Nichalamari, Naherbari, Uttarbarsiral, Nizsantipur, Mahina",Assam,Nalbari,26.5004,91.4784,2.89,0.0,19.13,36.17,44.44,907.9,2022-09-18,17.14,91.0
20069,20069,20069,781372,"Dihira, Subankhata, Nikashi, Adalbari, Mussalpur, Pamuapathar, Motipur, Kataligaon, Barimukh, Banbari, Uttarkuchi, Narayanpur",Assam,Nalbari,26.3679,91.3919,2.53,0.0,42.56,35.48,43.4,734.33,2022-09-18,6.0,90.0
20070,20070,20070,781315,"Kalpani Bazar, Kohitama, Nimua, Mairajar, Mainamata, Labdanguri Gon, Khairabari, Barengabari, Bilashi Para Bazar, Gobardhana, Kalahbhanga, Katajhar, Barpeta Road",Assam,Barpeta,26.5028,90.96939999999998,3.82,0.0,35.05,32.21,41.17,787.74,2022-09-18,15.94,83.0
20071,20071,20071,781308,"Baghbar, Nirala, Pahumara, Ramaparapam, Satrakanara Bazar, Sitoli, Habidongra Bazar, Kadomtola, Dharmpur, Deoldi, Chakabusi, Bhoirarpam, Baslajan, Mandia, Manikpur",Assam,Barpeta,26.3278,90.51132,4.71,0.0,3.04,49.71,66.48,1174.93,2022-09-18,39.76,118.0
20072,20072,20072,781329,"Tuplaipanbari, Nityananda, Akaya, Bhogpur, Sarumanikpur, Pubrihabari, Maripur Anandapur, Daisingri",Assam,Barpeta,26.6242,91.5994,1.1,0.0,29.68,26.7,32.64,707.63,2022-09-18,4.58,72.0
20073,20073,20073,781334,"Bardigheli, Balilecha, Terechia, Niz Bahjani, Janijog, Chowkbazar (Nalbari), Gopalthan, Chandkuchi, Barazara, Mugkuchi, Arara, Bhadra",Assam,Nalbari,26.3796,91.30281666666669,2.53,0.0,42.56,35.48,43.4,734.33,2022-09-18,6.0,90.0
20074,20074,20074,781355,"Nathkuchi, Niz Namati, Karemura, Assam Syntex, Geruapara, Medaghat, Sathimuka, Baramchari",Assam,Nalbari,26.3679,91.33395,2.53,0.0,42.56,35.48,43.4,734.33,2022-09-18,6.0,90.0
20075,20075,20075,781319,"Kalgachia, Balagaon, Ghugubari, Bankubhanga, Balikuri, Saupur, Niz Rampur, Langa, Gunialguri, Charcharia",Assam,Barpeta,26.3592,91.06899,9.06,0.0,9.39,52.22,70.39,1148.22,2022-09-18,24.68,123.0
20076,20076,20076,781302,"Gomafulbari, Baharihat, Nizbahari, Barghol",Assam,Barpeta,26.3379,91.2087,2.53,0.0,42.56,35.48,43.4,734.33,2022-09-18,6.0,90.0
20077,20077,20077,781333,"Dangarmakha, Saukuchi, Pub Baramchari, Nizbangalipara, Thanguri, Bennabari, Dalbari, Debachara, Barimakha",Assam,Nalbari,26.3796,91.2951,2.53,0.0,42.56,35.48,43.4,734.33,2022-09-18,6.0,90.0
20078,20078,20078,781367,"Dumuria, Mazdia, Kalaskuchi, Nizdafeli, Natunhowly, Kachubari, Kachukata, Zarkona, Tinpukhuri, Pachimjargaon, Paddapar, Ghogpar, Gandhibari, Barkhopa, Amayapur, Tambulpur, Kalbari, Ulubari",Assam,Barpeta,26.335,91.25947777777778,2.53,0.0,42.56,35.48,43.4,734.33,2022-09-18,6.0,90.0
20079,20079,20079,781349,"Nizdhamdhama, Balitara, Nichalamari, Naherbari, Uttarbarsiral, Nizsantipur, Mahina",Assam,Nalbari,26.5004,91.4784,2.89,0.0,19.13,36.17,44.44,907.9,2022-09-18,17.14,91.0
20080,20080,20080,781353,"Gopalbazar, Nizpakoa, Sandheli",Assam,Nalbari,26.4389,91.4266,2.89,0.0,19.13,36.17,44.44,907.9,2022-09-18,17.14,91.0
20081,20081,20081,781349,"Nizdhamdhama, Balitara, Nichalamari, Naherbari, Uttarbarsiral, Nizsantipur, Mahina",Assam,Nalbari,26.5004,91.4784,2.89,0.0,19.13,36.17,44.44,907.9,2022-09-18,17.14,91.0
20082,20082,20082,781338,"Lakhopur, Bori, Helacha, Niztapa, Piplibari, Solmara",Assam,Nalbari,26.3796,91.2951,2.53,0.0,42.56,35.48,43.4,734.33,2022-09-18,6.0,90.0
20083,20083,20083,781325,"Bajali College, Bhetua, Amdah, Hathinapur, Dubi, Muguria, Raypur, Bamakhata, Bhakuamari, Bhotantasaderi, Barbang, Pathsala, Odalguri",Assam,Barpeta,26.6325,91.55724615384617,1.1,0.0,29.68,26.7,32.64,707.63,2022-09-18,4.58,72.0
20084,20084,20084,781138,"Larkuchi, Kachupathar, Kaplabari, Kekankuchi, Narua, Pachim Kajia Gaon, Bartola, Hidilatari",Assam,Nalbari,26.263,91.3011,2.53,0.0,42.56,35.48,43.4,734.33,2022-09-18,6.0,90.0
20085,20085,20085,781306,"Chamata, Amani, Pachimchamata, Rupia Bathan, Gamurimuri",Assam,Nalbari,26.3379,91.2087,2.53,0.0,42.56,35.48,43.4,734.33,2022-09-18,6.0,90.0
