,Unnamed: 0.1,Unnamed: 0,postal_code,place_name,state_name,county_name,latitude,longitude,SO2,NO2,O3,PM2.5,PM10,CO,Date,N02,AQI
26064,26064,26064,853204,"Laxmipurgirdhar, Bhowadeorhi, Srimaha, Kahariah, Bhatgama, Arajpur, Pakra, Naugachia, Latra, Jagatpur, Chapar, Rangra, Dharahara, Balia, Pratapnager, Khajra, Khairpurkadwa, Kadwadiaza, Baisijahajirpur, Bhawauipur, Dholbazza Bazar, Dimala, Panchgachia Bazar, Abhiabazar, Madruui, Gosaigaov, Malchatakia, Mauiamore, Najrah, Srighia Makandpur, Sahuparbatta, Tetripakra, Sadhua, Mohanpur",Bihar,Purnia,25.5139,86.83742058823529,12.76,0.0,51.5,67.54,73.79,754.36,2022-09-18,14.74,151.0
26065,26065,26065,813211,"Kumarpur, Kasba, Chutia, Pararia, Krma, Mahisota, Palaria, Mirsapur, Shambhuganj, Soguni, Barabad, Belarimilki, Gidhora, Kavisha, Kadrachak",Bihar,Banka,24.8537,86.71124666666668,3.61,0.0,36.12,40.1,43.95,741.01,2022-09-18,12.0,99.0
26066,26066,26066,853204,"Laxmipurgirdhar, Bhowadeorhi, Srimaha, Kahariah, Bhatgama, Arajpur, Pakra, Naugachia, Latra, Jagatpur, Chapar, Rangra, Dharahara, Balia, Pratapnager, Khajra, Khairpurkadwa, Kadwadiaza, Baisijahajirpur, Bhawauipur, Dholbazza Bazar, Dimala, Panchgachia Bazar, Abhiabazar, Madruui, Gosaigaov, Malchatakia, Mauiamore, Najrah, Srighia Makandpur, Sahuparbatta, Tetripakra, Sadhua, Mohanpur",Bihar,Purnia,25.5139,86.83742058823529,12.76,0.0,51.5,67.54,73.79,754.36,2022-09-18,14.74,151.0
26067,26067,26067,813110,"Motauga, Sadpur, Pair, Panjwara, Pathara, Chalna, Ahiro, Raugaon",Bihar,Banka,24.8957,87.07741250000001,4.95,0.0,8.85,43.47,49.29,841.14,2022-09-18,20.05,106.0
26068,26068,26068,813106,"Jaipur, Pira, Bhelwa, Kandhar, Kewar, Katoria, Barbasaui, Bairoganj, Kamdeodih, Katsakrh, Papraiba, Supha, Tonapathar, Bauiakura, Charkapathar, Uparchakmarhia, Tetaria",Bihar,Banka,24.5842,86.5703294117647,1.55,0.0,6.26,25.32,33.13,620.84,2022-09-18,15.25,69.0
26069,26069,26069,813102,"Jogdiha, Haripur, Rajpur, Domohan, Jajdiha, Kunonira, Bijaynagar, Danra, Banka H.O, Baliamehra, Jethorjamua, Dhakamore, Dudhari, Kunouni, Maheshadih, Pararia Chakadih, Chutia, Samukhia, Ramchandrapur Ithari, Ranghatta, Samukhia More, Paraia Chakdih, Medha, Manjira Gouripur, Malbathan, Makduma, Laxmipur, Jamdaha",Bihar,Banka,24.9148,86.54187499999999,1.77,0.0,33.62,37.67,45.06,600.82,2022-09-18,7.97,94.0
26070,26070,26070,813211,"Kumarpur, Kasba, Chutia, Pararia, Krma, Mahisota, Palaria, Mirsapur, Shambhuganj, Soguni, Barabad, Belarimilki, Gidhora, Kavisha, Kadrachak",Bihar,Banka,24.8537,86.71124666666668,3.61,0.0,36.12,40.1,43.95,741.01,2022-09-18,12.0,99.0
26071,26071,26071,813102,"Jogdiha, Haripur, Rajpur, Domohan, Jajdiha, Kunonira, Bijaynagar, Danra, Banka H.O, Baliamehra, Jethorjamua, Dhakamore, Dudhari, Kunouni, Maheshadih, Pararia Chakadih, Chutia, Samukhia, Ramchandrapur Ithari, Ranghatta, Samukhia More, Paraia Chakdih, Medha, Manjira Gouripur, Malbathan, Makduma, Laxmipur, Jamdaha",Bihar,Banka,24.9148,86.54187499999999,1.77,0.0,33.62,37.67,45.06,600.82,2022-09-18,7.97,94.0
26072,26072,26072,813210,"Sabour, Goradih, Pharka, Agarpur, Pithna, Alinagear Rajpur, Bishanpurjicho, Chakdaria, Mamallkha, Fatehpur (BhagalpB.O, Bhaglapur  Engg. College, Machipur, Shaukarpur, Parghari, Bahadurpur",Bihar,Bhagalpur,25.2428,87.09048666666668,19.07,0.0,15.02,88.41,104.28,1054.76,2022-09-18,31.87,163.0
26073,26073,26073,813221,"Ghazipur, Ramchna, Chathar Dhaniar, Baid Pur, Kamargame, Basbita, Bhelwa, Sahora, Tarapur (Munger), Golni Kusaha, Ramgram, Majhgain, Harpur, Kahua, Sishua, Parwara, Supour, Launaparsa, Barhvia, Bhagalpur Devgaon, Nowgain, Mauikpur, Madhochih, Durmalta",Bihar,Bhagalpur,25.2691,86.52755416666668,8.82,0.0,21.1,107.27,127.31,1348.5,2022-09-18,21.25,174.0
26074,26074,26074,813207,"Bhitia, Bhatshila, Bahrna, Dhankuria, Fullidumar, Karanjha, Noroun, Pasmanandpur, Rauja, Rata, Nimia, Khesar, Bishanpur, Beldiha",Bihar,Banka,24.9192,86.25290714285714,3.37,0.0,0.04,45.23,59.55,1054.76,2022-09-18,17.31,109.0
26075,26075,26075,813209,"Sadipur, Barmasia, Mohanpur, Ambapali, Bakharpur, Pripainti, Srinagar, Srimatpur, Bakiadiara, Passurampur, Rifatpur, Salempurtola, Pripainti Bazar, Moultola, Kaliprasad, Khawaspur, Duldulia, Sarkanda, Narayanpur",Bihar,Bhagalpur,25.2689,87.20185789473685,14.78,0.0,15.38,102.37,120.77,1121.52,2022-09-18,25.71,171.0
26076,26076,26076,813101,"Salempur, Surhari, Sultanpur, Amarpur (Banka), Rajwara, Baidachak, Mahadwpur, Ranikita, Telia Lowgain, Kolbuzurg, Pathada, Kenduar, Kathail, Bishambharchak, Belsira, Gorgama, Dumarama, Abhiyudayasharan, Sobhanpur Katoria, Pawai (BanB.O, Kandnar, Kamdeopur, Bharko",Bihar,Bhagalpur,25.274,86.68555652173913,11.21,0.0,43.27,90.64,103.46,1028.06,2022-09-18,16.62,164.0
26077,26077,26077,813204,"Beijnathpur, Dhoabai, Dhanora, Chhotonaki, Sohail, Chaknathu, Mahesakhore, Trimohan, Srimatpur, Laxmipur Babhania, Silhan, Ekchari, Dhankar, Madarganj, Arar, Pathak, Channo, Sanokhar, Amdanda, Karia",Bihar,Madhepura,25.2822,87.255685,14.78,0.0,15.38,102.37,120.77,1121.52,2022-09-18,25.71,171.0
26078,26078,26078,813110,"Motauga, Sadpur, Pair, Panjwara, Pathara, Chalna, Ahiro, Raugaon",Bihar,Banka,24.8957,87.07741250000001,4.95,0.0,8.85,43.47,49.29,841.14,2022-09-18,20.05,106.0
26079,26079,26079,813203,"Shobnathpur, Lalapur Bhader, Kalgigaj, Patharghatta, Sangitbaita, Kasri, Kahalgaon, Mahesh Munda, Bhawanipur",Bihar,Bhagalpur,25.3925,87.26062222222222,14.78,0.0,15.38,102.37,120.77,1121.52,2022-09-18,25.71,171.0
26080,26080,26080,813107,"Gopalpur, Morma, Lakra, Bamdev, Patsorikhaira, Rojabar, Ramjdha, Uprama, Kathoun, Rajoun",Bihar,Banka,25.0514,87.03701000000001,14.42,0.0,26.82,61.38,68.01,907.9,2022-09-18,27.08,141.0
26081,26081,26081,813101,"Salempur, Surhari, Sultanpur, Amarpur (Banka), Rajwara, Baidachak, Mahadwpur, Ranikita, Telia Lowgain, Kolbuzurg, Pathada, Kenduar, Kathail, Bishambharchak, Belsira, Gorgama, Dumarama, Abhiyudayasharan, Sobhanpur Katoria, Pawai (BanB.O, Kandnar, Kamdeopur, Bharko",Bihar,Bhagalpur,25.274,86.68555652173913,11.21,0.0,43.27,90.64,103.46,1028.06,2022-09-18,16.62,164.0
26082,26082,26082,813104,"Dahuwa, Serua, Golhatti, Bhghwa, Gorgama, Gokula, Bounsi, Bhurna, Chvapaui, Bagduma, Maniyarpur, Kairee, Bisanpur Bhurbhuri, Saraiya, Phaga, Mandar Vidyapith, Shyambazar, Suyambazar, Pilua Jharna, Sukhia Barhet, Kushmaha, Nayagaon, Sabalpur",Bihar,Banka,24.8537,86.83829565217391,4.47,0.0,10.46,39.33,45.62,834.47,2022-09-18,20.39,97.0
26083,26083,26083,813210,"Sabour, Goradih, Pharka, Agarpur, Pithna, Alinagear Rajpur, Bishanpurjicho, Chakdaria, Mamallkha, Fatehpur (BhagalpB.O, Bhaglapur  Engg. College, Machipur, Shaukarpur, Parghari, Bahadurpur",Bihar,Bhagalpur,25.2428,87.09048666666668,19.07,0.0,15.02,88.41,104.28,1054.76,2022-09-18,31.87,163.0
26084,26084,26084,853205,"Ismailpur, Kamlakund, Tintanga, Suktia, Phulakia, S.T.Goriar, Bhimdestola, Jotgobind, Raghunitola, Tintangadiara",Bihar,Bhagalpur,25.3113,87.16920999999999,19.07,0.0,15.02,88.41,104.28,1054.76,2022-09-18,31.87,163.0
26085,26085,26085,813104,"Dahuwa, Serua, Golhatti, Bhghwa, Gorgama, Gokula, Bounsi, Bhurna, Chvapaui, Bagduma, Maniyarpur, Kairee, Bisanpur Bhurbhuri, Saraiya, Phaga, Mandar Vidyapith, Shyambazar, Suyambazar, Pilua Jharna, Sukhia Barhet, Kushmaha, Nayagaon, Sabalpur",Bihar,Banka,24.8537,86.83829565217391,4.47,0.0,10.46,39.33,45.62,834.47,2022-09-18,20.39,97.0
26086,26086,26086,813106,"Jaipur, Pira, Bhelwa, Kandhar, Kewar, Katoria, Barbasaui, Bairoganj, Kamdeodih, Katsakrh, Papraiba, Supha, Tonapathar, Bauiakura, Charkapathar, Uparchakmarhia, Tetaria",Bihar,Banka,24.5842,86.5703294117647,1.55,0.0,6.26,25.32,33.13,620.84,2022-09-18,15.25,69.0
26087,26087,26087,813210,"Sabour, Goradih, Pharka, Agarpur, Pithna, Alinagear Rajpur, Bishanpurjicho, Chakdaria, Mamallkha, Fatehpur (BhagalpB.O, Bhaglapur  Engg. College, Machipur, Shaukarpur, Parghari, Bahadurpur",Bihar,Bhagalpur,25.2428,87.09048666666668,19.07,0.0,15.02,88.41,104.28,1054.76,2022-09-18,31.87,163.0
26088,26088,26088,813205,"Batsar, Ghogha, Sathiari, Mangachak, Sakrama, Murhan, Maheshpur, Rahmandih, Prasasthdih, Nadiama, Mahiama, Baliskadma, Tazar, Hasai, Sanhoula, Bishanpur, Pair, Pothia, Dharia",Bihar,Bhagalpur,25.2705,87.07225263157895,19.07,0.0,15.02,88.41,104.28,1054.76,2022-09-18,31.87,163.0
26089,26089,26089,813205,"Batsar, Ghogha, Sathiari, Mangachak, Sakrama, Murhan, Maheshpur, Rahmandih, Prasasthdih, Nadiama, Mahiama, Baliskadma, Tazar, Hasai, Sanhoula, Bishanpur, Pair, Pothia, Dharia",Bihar,Bhagalpur,25.2705,87.07225263157895,19.07,0.0,15.02,88.41,104.28,1054.76,2022-09-18,31.87,163.0
