,Unnamed: 0.1,Unnamed: 0,postal_code,place_name,state_name,county_name,latitude,longitude,SO2,NO2,O3,PM2.5,PM10,CO,Date,N02,AQI
21561,21561,21561,847230,"Jiraul, Manpour, Hisardeorhi, Kauwaha Barhi, Keotha, Khirhar, Siriapur, Benta Parsa, Akaur, Bhaiyapatti",Bihar,Madhubani,26.5141,85.95821000000001,3.04,0.0,37.91,46.1,58.9,988.01,2022-09-18,11.82,111.0
21562,21562,21562,847230,"Jiraul, Manpour, Hisardeorhi, Kauwaha Barhi, Keotha, Khirhar, Siriapur, Benta Parsa, Akaur, Bhaiyapatti",Bihar,Madhubani,26.5141,85.95821000000001,3.04,0.0,37.91,46.1,58.9,988.01,2022-09-18,11.82,111.0
21563,21563,21563,847402,"Belha, Chikna, Parsa, Tilath, Hatni, Jageshwar Asthan, Garatol, Pirojgadh, Saini, Alola, Kalikapur, Sangi, Amahi, Jagatpur, Sarauti, Matras, Biraoul, Basuari, Baikabishanpur, Dharmdiha, Gahuma Beria, Sudairatauli, Keotna, Ghoghardiha, Amouza",Bihar,Madhubani,26.3883,86.338832,4.11,0.0,15.91,81.09,107.4,1214.98,2022-09-18,26.39,159.0
21564,21564,21564,847222,"Nahas Rupauli, Belauza, Kerwar, Navkarhi, Nagdah Balain, Nagwas, Arerhat, Jafra, Karhi, Simri, Ektara",Bihar,Madhubani,25.6134,86.04666363636365,22.41,0.0,0.04,110.16,139.97,1869.2,2022-09-18,52.78,176.0
21565,21565,21565,847235,"Sugauna, Rajnagar (Madhubani), Pariharpur, Shyamsidhap, Mailam, Nakti, Chapahi, Bhariabishanpur, Korahiyabalha, Ghonghour, Chichrikanungo, Patwara, Kewalpatti, Simri, Gangdwar, Bhatsimar",Bihar,Madhubani,26.4077,86.2027375,2.35,0.0,28.25,57.15,75.08,1001.36,2022-09-18,13.88,133.0
21566,21566,21566,847228,"Kalikapur, Khajauli, Kanhauli, Chatra, Marukia, Chhaurahi, Benta, Thahar, Palimohan, Biraul, Gobraura, Bhakua, Baruar, Datuar, Bhatchaura, Laxmipur, Kasma Marar, Mahua Ekdara, Maina Sukki, Sarabe Tarapatti, Selra, Maheaswara",Bihar,Madhubani,26.4956,86.17578181818182,2.59,0.0,58.65,45.17,54.26,854.49,2022-09-18,6.77,109.0
21567,21567,21567,847232,"Garha, Ekhari, Ladania, Mahtha, Piprahi, Jhaloun, Mirjapur, Kumarkhat, Khajedih, Tharhi Sidhhap, Sidhhap Parsahi",Bihar,Madhubani,26.6298,86.2836090909091,4.89,0.0,38.27,44.2,65.85,1108.17,2022-09-18,20.22,107.0
21568,21568,21568,847212,"Malangia, Basuara, Kakna, Sirpurhati, Bhowara, Bhachhi, Khajuri, Kharra, Dumari",Bihar,Madhubani,26.3141,86.1322,6.86,0.0,15.02,94.29,119.44,1482.01,2022-09-18,29.13,166.0
21569,21569,21569,847224,"Satghara, Pachrukhi, Devhar, Khozpur, Misrauli, Mauahi, Chandra Dih, Baboobarhi, Kharagwani, Tirhuta, Pirhi, Dhamaura, Ramnipatti, Bela",Bihar,Madhubani,26.3977,86.27501428571428,4.11,0.0,15.91,81.09,107.4,1214.98,2022-09-18,26.39,159.0
21570,21570,21570,847238,"Kapileshwar Asthan, Kakraul, Rahika, Kharaua, Husainpur",Bihar,Madhubani,26.2484,86.09648,6.86,0.0,15.02,94.29,119.44,1482.01,2022-09-18,29.13,166.0
21571,21571,21571,847212,"Malangia, Basuara, Kakna, Sirpurhati, Bhowara, Bhachhi, Khajuri, Kharra, Dumari",Bihar,Madhubani,26.3141,86.1322,6.86,0.0,15.02,94.29,119.44,1482.01,2022-09-18,29.13,166.0
21572,21572,21572,847240,"Bishoul, Sothgaon, Rampur, Khauna, Umgaon kothi, Pipraun, Phulhar, Harlakhi",Bihar,Madhubani,26.572,85.96719999999999,3.04,0.0,37.91,46.1,58.9,988.01,2022-09-18,11.82,111.0
